title,setup,punchline,category,rating,score,words
CORPORATE EFFICIENCY,"A CEO walks through his office and sees a man sitting on a sofa, scrolling through his phone. ""What are you doing?"" the CEO demands. ""Wasting time until I get paid."" ""What\'s your weekly salary?"" ""One thousand dollars."" Furious, the CEO counts out two thousand dollars and hands it to him. ""Here\'s two weeks\' pay. Take it and get out. You don\'t work here anymore!"" The man quietly takes the money and leaves. The CEO turns to the receptionist. ""Who was that guy?""","""The pizza delivery driver.""",work,tout_public,,87
PRIORITY CUSTOMER,"A man walks into a bank and snarls at the teller, ""Listen, bitch, get me the asshole who runs this dump."" She protests, but he keeps going. ""Shut the hell up and call the idiot who owns this place!"" The bank manager rushes over. ""Sir, I\'m the manager. What seems to be the problem?"" ""I just won a hundred and fifty million dollars in the lottery, and I want to deposit it here.""","The manager immediately turns to the teller. ""I see. Is this bitch giving you trouble?""",money,tout_public,,88
FIELD TECHNICIAN,"A woman spends four hours assembling an IKEA wardrobe. A city bus rumbles over the cobblestones outside, the apartment shakes, and the wardrobe collapses. She rebuilds it. The next bus passes, and it falls again. Furious, she calls IKEA. A technician arrives, rebuilds it, then climbs inside to locate the defect when the next bus goes by. At that moment, the woman\'s husband comes home, opens the wardrobe, and finds a man crouching inside.","The technician looks up. ""You\'re never going to believe this, but I\'m waiting for the bus.""",marriage,tout_public,,90
THREE OPERATING SYSTEMS,"Three software engineers meet at the restroom sink. The Windows engineer uses gallons of water, half the soap, and a stack of towels. ""At Windows, we're thorough."" The Apple engineer uses a splash of water, three drops of soap, and half a towel. ""At Apple, we're thorough and efficient."" The Linux engineer heads for the door. ""Aren't you washing your hands?""","""At Linux, we don't pee on our fingers.""",tech,tout_public,,69
ARCHAEOLOGICAL BREAKTHROUGH,Russian archaeologists dig 300 feet and find thousand-year-old copper wire. They announce that ancient Russians had wired communications. Americans dig 600 feet and find two-thousand-year-old glass fibers. They announce that ancient Americans had fiber optics a thousand years earlier. Belgian archaeologists dig three miles and find nothing.,They proudly announce that ancient Belgians had wireless internet five thousand years ago.,work,tout_public,,60
THE OLD CLAIM TICKET,"A man returns to New York after forty-five years away. In his old neighborhood, he finds the tiny shoe-repair shop he used before he left. He checks his wallet and discovers a claim ticket for a pair of loafers he never picked up. Inside, an ancient cobbler examines it. ""Brown loafers? Left shoe needed a new sole?"" ""Yes! Exactly!""","The cobbler disappears into the back room, returns, and says, ""They\'ll be ready Thursday.""",money,tout_public,,73
SUPPORTING EVIDENCE,"During an IRS audit, the agent says, ""You report an income of only \$1,800 a month. How do you explain your beach house in Malibu, your Manhattan condo, and your ranch in Texas?"" The taxpayer replies, ""One night I dreamed there was treasure under a tree in my mother\'s yard. The next morning, I dug there and found it."" The agent raises an eyebrow. ""Do you have any proof of that story?""","""Of course: my beach house in Malibu, my Manhattan condo, and my ranch in Texas.""",money,tout_public,,87
SECRET BAIT,"A bartender asks a customer, ""What are you having?"" ""A whiskey."" After drinking it, the customer refuses to pay. ""You asked what I was having. I thought you were buying."" The next day, he returns with a hard-boiled egg, cuts it into tiny cubes, and explains that he is making fishing bait. The curious bartender asks, ""What do you catch with that?""","The customer smiles. ""Mostly free whiskey.""",bar,tout_public,,68
CAMERA FIFTY,"A film crew has one chance to blow up a castle. Fifty cameras are positioned around the set. The director yells ""Action!"" and the castle explodes beautifully. But Camera One was out of focus. Camera Two lost power. Camera Three started late. One by one, forty-nine operators admit that they missed the shot. In tears, the director reaches the final cameraman. ""Please tell me you got it.""","The cameraman smiles. ""I\'m ready whenever you are.""",work,tout_public,,75
THE HIDDEN TALENT,"At a school for superheroes, the headmaster rolls his wheelchair up to a new student. ""What is your power?"" ""I can tell exactly how many pulls it takes to stop a ceiling fan. That one takes three."" The headmaster stands up, walks across the room, and pulls the chain three times. The fan stops. ""Interesting,"" he says, ""but that is not a superpower.""","""I was joking,"" she replies. ""My real power is healing people who cannot walk.""",kids,tout_public,,77
TODAY\'S SPECIAL,"A newly hired waitress copies the specials onto a chalkboard and accidentally writes, ""TUNA MELT --- \$6; CHEF\'S HAND JOB --- \$11."" A trucker asks, ""Are you the one who gives the chef\'s hand jobs?"" ""Yes. Why?"" ""Then wash your hands.","I\'ll have the tuna melt.""",work,tout_public,,46
THE BETTER LAWYER,What\'s the difference between a good lawyer and a great lawyer?,A good lawyer knows the law. A great lawyer knows the judge.,misc,tout_public,,23
THE PACKED LUNCH,"Three construction workers eat lunch high above the street. Bill finds another burger, Tony finds pasta again, and Chuck finds the same fish sandwich. Each vows to jump if he gets the same lunch tomorrow. The next day, all three lunches are identical. All three men jump.","At the funeral, Bill\'s and Tony\'s widows cry that they would have packed something else if they had known. Chuck\'s widow says, ""I don\'t understand. He packed his own lunch.""",work,tout_public,,77
THE LONG RIDE,"A driver picks up a hitchhiker. ""How far are you going?"" ""As far as you can take me."" The driver crosses the city, the state line, and finally reaches San Diego. ""This is as far as I can go.""","""Perfect. I live right across the street.""",misc,tout_public,,46
MINIMAL MATERIALS,"An engineer, a physicist, and a mathematician must build a fence around sheep using the least material. The engineer packs the flock into a circle and fences it. The physicist starts with an enormous circle and keeps shrinking it.","The mathematician builds a tiny fence around himself and declares, ""I define myself as being outside.""",work,tout_public,,55
NO EXCUSES,"A professor warns her class that nobody may miss tomorrow's mechanics exam without a genuine emergency. A joker in the back asks, ""What about extreme exhaustion from too much romance?""","After the laughter dies down, the professor smiles. ""Then you'll write with your other hand.""",misc,tout_public,,45
THE THIRD OPINION,"A physicist, a biologist, and a mathematician watch two people enter a house. Five minutes later, three people leave. The physicist says, ""The original measurement was wrong."" The biologist says, ""They reproduced.""","The mathematician says, ""If one person goes inside now, the house will be empty.""",work,tout_public,,46
FULL SERVICE,"A man walks into a bar. ""How much is a Coke?"" ""Five dollars for the Coke and five dollars for service."" The man hands over ten dollars. The bartender gives five back. ""Why did you return five dollars?""","""Because we\'re out of Coke.""",bar,tout_public,,43
BUDGET LANGUAGE SCHOOL,"A man compares English grammar classes. Every teacher charges fifty dollars an hour except one ad: PERFECT ENGLISH GRAMMAR - \$5 AN HOUR He goes to the address and knocks. ""Is this the five-dollar English teacher?""","A voice from inside replies, ""Yes. You is at the right place.""",money,tout_public,,48
OLD DRINKING BUDDY,"Every day, a man orders two whiskeys at the same bar. He explains, ""My best friend and I always drank together in the Army. We lost touch, so I drink one for him and one for me."" Six months later, he orders only one. The bartender asks gently, ""Did your friend die?""","""No. I quit drinking.""",bar,tout_public,,56
OFFICE HOURS,"During a job interview, a veteran explains that a land mine took both testicles. The manager hires him and says, ""Office hours are eight to four, but you can come in at ten."" ""I don\'t want special treatment.""","""It isn\'t special treatment. Everyone here spends eight to ten scratching their balls.""",work,tout_public,,51
THE FIRST STEP,"A woman in a skin-tight skirt cannot climb onto a bus. She discreetly lowers a zipper behind her, tries again, then lowers it farther. A man suddenly lifts her onto the step. ""What gives you the right to touch me?""","""That\'s the second time you\'ve unzipped my fly. I figured we were getting close.""",misc,tout_public,,54
THE FISHING LICENSE,"A game warden catches a man with a bucket full of fish. ""They\'re my pets,"" the man says. ""Every evening I let them swim, then whistle and they come back."" To prove it, he pours them into the lake. Minutes later, the warden asks when he plans to call them back.","""Call who back?""",animals,tout_public,,54
TONIGHT\'S DINNER,"A woman thinks she is losing her hearing. From across the house, she asks her butler what he is cooking. No answer. She asks again while getting closer, then stands directly behind him. ""James, what are you making for dinner?""","""Beef stew. That\'s the fourth time I\'ve told you.""",misc,tout_public,,49
SCHEDULED MAINTENANCE,"David runs into Morris. ""I heard your store burned down!""","Morris checks his watch. ""That\'s next week.""",misc,tout_public,,17
THE RED LIGHT,"A police officer stops a driver. ""Didn\'t you see the red light?""","""I saw the light. I didn\'t see you.""",work,tout_public,,20
SAVING AMMUNITION,"In the middle of a heated battle, I pulled a knife to save ammunition.","For some reason, all the other paintball players completely freaked out.",kids,tout_public,,25
UNEXPECTED ENGINEERING,"When one door closes, another one opens.","Other than that, it\'s a pretty good car.",misc,tout_public,,15
TWO METALS,What\'s the difference between an iron superhero and an aluminum superhero?,The iron hero stops the bad guys. The aluminum hero foils their plans.,misc,tout_public,,24
MEDICATION SIDE EFFECTS,I left my ADHD medication in a Ford Fiesta.,"When I came back, it had become a Ford Focus.",animals,tout_public,,19
THE ORAL EXAM,"A boy from a family that has never once talked to the police is sent in for an oral exam. His father waits all day, sick with worry.","That evening the boy comes home beaming. ""Dad, you would have been proud. They questioned me for two hours and I didn't say a word.""",misc,tout_public,,53
THE ROOM RATES,"A traveler asks a hotel for its room rates. ""A thousand dollars on the first floor, eight hundred on the second, and six hundred on the third."" The traveler thanks the clerk and leaves. ""Too expensive?""","""No. Your hotel just isn\'t tall enough for me.""",money,tout_public,,45
THE CAUTIOUS DRIVER,"A cabdriver speeds through three red lights. Each time his passenger protests, he says, ""Don\'t worry. My brother-in-law does this all the time."" At the fourth intersection, the light is green, but the driver slams on the brakes. ""Why stop now?""","""My brother-in-law might be coming the other way.""",work,tout_public,,49
WINTER GEAR,"A teacher struggles for ten minutes to pull boots onto a child. ""They\'re on the wrong feet,"" he says. She removes them and starts again. ""Those aren\'t my boots. They\'re my brother\'s, but Mom said I have to wear them."" The teacher starts over once more, then asks, ""Where are your gloves?""","""Inside my boots.""",kids,tout_public,,55
A HELPFUL NOTE,A man finds his car smashed in a parking lot. A note is tucked under the windshield wiper:,"""I hit your car. Everyone is watching and thinks I am leaving my contact information. I am not.""",misc,tout_public,,36
SCIENTIFIC DATING,"At a museum, a visitor asks the age of a dinosaur skeleton. ""Six million years, five months, and three days."" ""How can you be so precise?""","""When I started working here five months and three days ago, they said it was six million years old.""",work,tout_public,,45
THE REVISED HEADLINE,"In Dallas, a boy saves his friend by killing the pit bull attacking him. A reporter writes: ""Young Cowboys Fan Heroically Saves Friend."" ""But I\'m a Giants fan,"" says the boy.","The reporter starts again: ""Young Thug Cold-Bloodedly Murders Beloved Texas Family Pet.""",animals,tout_public,,43
THE SECRET INGREDIENT,"A restaurant customer can smell the towel on a waiter\'s arm and identify every dish being prepared. To fool him, the waiter takes the towel home and has his wife rub it between her legs. The next day, the customer sniffs it and looks surprised.","""Wait---Nicole works here now?""",marriage,tout_public,,49
GENIUS ARITHMETIC,"A psychiatrist asks three patients what seven times five equals. The first says ""one thousand,"" the second says ""Thursday,"" and the third says ""thirty-five."" ""Excellent! How did you get that?""","""Easy. I divided one thousand by Thursday.""",medical,tout_public,,37
THE EXIT INTERVIEW,"HR asked why I was leaving. I said, ""For a company that values honesty."" They said, ""We value honesty.""","I said, ""No, you value exit interviews.""",work,tout_public,,26
THE REMOTE MEETING,"My boss asked why my camera was off during the video meeting. I said, ""Bandwidth."" He asked why my microphone was off.","""Employment preservation.""",work,tout_public,,24
UNLIMITED VACATION,Our company offers unlimited vacation.,You can take as much time as you want between being fired and finding another job.,work,tout_public,,21
THE HELPFUL REPLACEMENT,My office installed an artificial-intelligence assistant.,"It reads every email, schedules every meeting, and has already applied for my position.",work,tout_public,,20
PERFORMANCE GOALS,My annual review said I need to show more initiative.,So I added a zero to my salary and sent it back for approval.,work,tout_public,,24
THE INTERNSHIP,"The job listing promised ""valuable exposure.""","It was unpaid, outdoors, and in January. For once, the advertisement was completely honest.",work,tout_public,,20
THE HONEST ATTORNEY,"A lawyer says, ""I charge five hundred dollars for three questions."" The client says, ""Isn\'t that expensive?""","""Yes. What\'s your third question?""",work,tout_public,,22
THE OFFICE PRINTER,The printer only jams when I am in a hurry.,"It is the most emotionally intelligent machine in the building, and it hates me.",misc,tout_public,,24
THE TRAINING VIDEO,"The workplace safety video began, ""Everything you are about to see could have been prevented.""",So I turned it off.,misc,tout_public,,20
THE RIGHT PAPER,"A soldier picks up every scrap of paper he sees, studies it, and mutters, ""That's not it."" Doctors finally declare him unfit for duty and hand him his discharge papers.","He reads them, smiles, and says, ""That's it!""",medical,tout_public,,38
JOB SECURITY,Working at the unemployment office must be stressful.,"If they fire you, you still have to show up there the next morning.",work,tout_public,,22
THE GUILLOTINE,"A priest, a lawyer, and an engineer face the guillotine. The blade jams for the priest and lawyer, so both are released as acts of divine mercy.","The engineer lies down, looks up, and says, ""Wait---I think I see the problem.""",misc,tout_public,,41
BUILDING CAPACITY,Two mathematicians enter an empty building and three come out.,The security guard records an occupancy of minus one and is immediately promoted to accounting.,work,tout_public,,25
STATISTICAL ACCURACY,An engineer shoots five feet left of a target. A physicist shoots five feet right.,"The statistician cheers, ""We hit it on average!""",misc,tout_public,,23
PROOF OF DINNER,"An engineer, physicist, and mathematician are each locked in a room with canned food but no opener. The engineer dismantles the can. The physicist calculates the perfect angle to smash it.",The mathematician starves beside a board proving that a solution exists.,misc,tout_public,,42
DEPARTMENT BUDGETS,"A dean complains, ""Physics needs expensive laboratories. Mathematics only needs paper, pencils, and wastebaskets.","Philosophy is even cheaper---they don't need the wastebaskets.""",misc,tout_public,,22
PROFESSIONAL OFFENSE,"A man walks into a bar and shouts, ""All lawyers are idiots!"" A customer objects. ""Why? Are you a lawyer?"" ""No.","I'm an idiot.""",bar,tout_public,,24
MEETING RESULTS,A businessman walks into a bar after a three-hour meeting. The bartender asks what they decided.,"""To schedule another meeting.""",work,tout_public,,20
POSITIVE IDENTIFICATION,"Two atoms walk into a bar. One says, ""I lost an electron."" The other asks, ""Are you sure?""","""I'm positive.""",bar,tout_public,,20
LEGAL REPRESENTATION,"A man in custody says, ""I won't speak without my lawyer present."" The officer says, ""You are the lawyer."" He replies, ""Exactly.","So where's my present?""",work,tout_public,,26
PAYROLL ACCURACY,"An employee complains that his paycheck is fifty dollars short. Payroll replies, ""Last month we overpaid you by fifty, and you never complained.""","He says, ""I can overlook one mistake, but not two in a row.""",work,tout_public,,36
THE PRETTY FIELD,"An architect, engineer, and bricklayer debate who matters most. The architect says, ""I design it."" The engineer says, ""I calculate it.""","The bricklayer says, ""Without me, you have a pretty drawing and beautiful math sitting in a field.""",misc,tout_public,,38
FAST MONEY,"A client asks a financial adviser, ""How can I become a millionaire quickly?""","""Start as a billionaire and wait.""",animals,tout_public,,19
FOLLOWING DIRECTIONS,A teacher asks why a student is late.,"""The sign said 'School: Slow Down,' so I did.""",kids,tout_public,,17
THE RIGHT SPOT,"A customer wants an itemized bill for a five-minute plumbing repair. The plumber writes: ""Hitting the pipe: one dollar.","Knowing where to hit it: one hundred forty-nine.""",money,tout_public,,27
THE BOSS BIRD,"A pet shop sells three identical parrots for five hundred, one thousand, and two thousand dollars. The first knows computers; the second can program. ""What does the expensive one do?"" asks a customer. ""No idea,""","says the clerk, ""but the other two call him Boss.""",work,tout_public,,45
ACADEMIC SOURCES,Stealing one person's idea is plagiarism.,Stealing from many is research.,kids,tout_public,,11
HARDWARE SUPPORT,How many programmers does it take to change a light bulb? None.,That's a hardware problem.,misc,tout_public,,16
EMOTIONAL SAVINGS,I'm not cheap.,I'm emotionally attached to my money.,money,tout_public,,9
DECISION RIPENING,I don't procrastinate.,I let decisions ripen until they rot.,misc,tout_public,,10
THE PROCRASTINATION BOOK,A man asks a librarian for a book about stopping procrastination.,"""It should arrive next week.""",misc,tout_public,,16
THE EXPERIMENT,"A scientist tests a mouse's reflexes by removing its legs one at a time. After the fourth leg, the mouse no longer moves when ordered forward.","He writes: ""Conclusion: removing all four legs causes hearing loss.""",animals,tout_public,,36
THE THIRD QUESTION,"Three nuns die in a car crash and arrive at the gates of heaven. St. Peter tells them that each must answer one question before entering. He asks the first nun, ""What was the name of the first woman?"" ""Eve!"" she replies. St. Peter welcomes her in. He asks the second nun, ""Where did Adam and Eve live?"" ""The Garden of Eden!"" She is welcomed in, too. St. Peter warns the Mother Superior that her question will be more difficult. She agrees that this is fair. ""What did Eve say when she first saw Adam?"" he asks. The Mother Superior thinks for a moment. ""Oh\... that\'s a hard one.""","""Congratulations,"" says St. Peter. ""Welcome to heaven!""",work,tout_public,,116
THE RETURN VISIT,"A Martian arrives on Earth. Humanity has plenty of questions, so the U.N. arranges a conference. World leaders, public intellectuals, and religious leaders attend to ask their most burning questions. When it is the Pope\'s turn, he asks, ""I was wondering\... have you ever heard of our Lord and Savior, Jesus Christ?"" ""Of course!"" says the Martian. ""He stops by our planet every couple of years, and we always have a great time."" Stunned, the Pope says, ""Surely you are mistaken. Jesus Christ was here about two thousand years ago, but he left, and we\'ve been waiting for his return ever since. Why would he visit you so often?"" The Martian shrugs. ""Well, maybe he didn\'t like the party."" ""The what?"" the Pope asks.","""The party. When Jesus first showed up on our planet, we threw a huge celebration---music, dancing, food. It was great! Why? What did you guys do?""",work,tout_public,,150
INNER PEACE,"A spiritual teacher walks through a village with his disciples. Several opponents insult him, but he remains completely calm. One disciple asks, ""Master, how can you stay so peaceful?"" The teacher smiles. ""If someone offers you a gift and you refuse it, who owns the gift?"" ""The person who offered it."" ""Exactly. So when they offer anger, I let them keep it."" The disciple nods. ""Beautiful.""","The teacher whispers, ""Also, I poisoned their well.""",kids,tout_public,,74
TONIGHT'S MENU,"A man is being held captive in a cage by a group of cannibals. With no way out, he whispers, ""Oh God, I\'m so screwed!"" A light shines down and the voice of God says, ""No. In two hours they will take you from this cage. As you walk with them, a sparrow will fly overhead. Run left. The first man you see will be their leader. Kick him in the balls as hard as you can."" Exactly two hours later, the cannibals take him out. A sparrow flies overhead. The prisoner runs left and kicks the first man with all his strength. The leader drops to his knees.","The light shines down again, and God says, ""NOW you\'re screwed!""",kids,tout_public,,120
HIGHER MANAGEMENT,"A visitor at a synagogue challenges the caretaker. ""Are you important around here?"" ""I\'m above the janitor."" ""Above the rabbi?"" ""Yes."" ""Above the chief rabbi of the whole country?"" ""Still higher."" ""Then you\'re God?"" ""I\'m above God."" The visitor shouts, ""But there\'s nothing above God!""","The caretaker nods. ""That\'s exactly what I am.""",misc,tout_public,,53
PLAN B,"A man finds an old lamp in the woods. A genie appears and offers one wish. ""Bring my favorite dead singer back for one final concert."" ""Impossible,"" says the genie. ""The paperwork for the dead is a nightmare. Pick something else."" ""Fine. Make the world\'s most famous pop star fall madly in love with me and marry me.""","The genie goes quiet. ""About that concert---would you prefer a stadium or a small theater?""",tech,tout_public,,73
THE CONFESSIONAL,"A man staggers into a confessional. The priest sits on the other side. ""My son, what can I do for you?""","""You got any toilet paper?""",kids,tout_public,,26
SAME ORDER,"A man walks into a bar with a parrot on his shoulder. ""Whiskey, please."" The parrot adds, ""And a Coke for me!"" After the third interruption, the man warns him, ""Ask again and I\'ll tape you to the wall."" The parrot orders another Coke. The man tapes him to the wall beside a crucifix.","The parrot looks at Jesus and asks, ""You order a Coke too?""",bar,tout_public,,66
AN UNEXPECTED RISK,"A man tells a priest, ""Father, everyone I talk to falls in love with me---my neighbor, her sister, my assistant, the housekeeper, even the baker."" He keeps talking for ten minutes. Suddenly the priest grabs his sandals and runs for the door. ""Father! Where are you going?""","Without looking back, the priest yells, ""You've been talking to me for ten minutes! I'm leaving before we find out whether your story is true!""",misc,tout_public,,72
A LARGE REQUEST,"A man rubs an old lamp and a genie appears. ""I'll grant all your wishes!"" ""I want a giant palace with a hundred bedrooms, pools, gardens, fountains, and sports fields!""","The genie stares at him. ""Think for two seconds. If I could build all that, do you really think I'd be living in a one-room lamp with no windows?""",tech,adulte,,59
FORTY YEARS OF FAITH,"Reporters in Jerusalem interview an old man at the Western Wall. ""How often do you pray here?"" ""Every evening for forty years. I pray for peace, an end to hunger and disease, for the planet, my family, my friends---for all humanity."" ""And what has all that prayer brought you?""","The old man sighs. ""Not much. Most days I feel like I'm talking to a wall.""",work,tout_public,,65
LONG-DISTANCE RATES,"Two friends die in a crash and arrive in hell. The Devil allows one phone call at \$10,000 a minute. The first calls his wife for two minutes and owes \$20,000. The second chats with his cousin in Gary, Indiana, for two hours. The Devil checks the bill. ""That'll be \$1.50."" ""Why so cheap?"" the first man screams.","The Devil shrugs. ""Hell to Gary is a local call.""",work,tout_public,,68
TERMS AND CONDITIONS,"A man finds a genie in a bottle and is offered three wishes. The genie says, ""I will grant your wishes, but there are three rules: you cannot bring back the dead, kill anyone who is alive, or wish for more wishes."" The man says, ""I wish envelopes and stamps moaned whenever someone licked them.""","The genie pauses. ""There are four rules.""",work,tout_public,,62
THE CONVENT VISIT,"Three storks are carrying babies. ""I\'m delivering mine to newlyweds."" ""Mine is for a couple who waited ten years."" ""And I\'m going to a convent."" The others stare.","""I\'m not delivering anything. I just love scaring the hell out of them.""",work,tout_public,,41
DIRECTIONS,"In a small town, a priest cannot find the post office. Everyone ignores him except a completely drunk man, who gives him perfect directions. After mailing his letter, the priest comes back. ""You were very kind. To thank you, I\'d like to show you the way to God.""","The drunk laughs. ""You couldn\'t even find the post office.""",work,tout_public,,58
THREE REASONS,"At a White House reception, a man asks a formally dressed guest to dance.","""No, for three reasons. First, nobody dances to the national anthem. Second, not in front of the President. Third, I\'m the Cardinal of New York.""",work,tout_public,,39
AN UNUSUAL WAIT,"A mother insists that her pregnant daughter has never been near a man. The doctor stands and stares out the window at the sky. ""What are you doing?""","""The last time this happened, a star appeared and three wise men showed up to explain it. I\'m waiting.""",work,adulte,,47
THE IDENTITY CHECK,"A famous painter reaches heaven and proves his identity by drawing a masterpiece. A celebrated novelist writes a brilliant paragraph. Then a reality-television star arrives and asks, ""Who are those two?""","Saint Peter opens the gate. ""That proves it. You\'re definitely a reality-television star.""",misc,tout_public,,44
AN AWKWARD INVITATION,"Judas asks Jesus, ""Hey, are you coming to the Last Supper tonight?"" Jesus stares at him. ""The what?""","Judas quickly corrects himself. ""The supper. I mean, are you coming to the supper tonight?""",misc,tout_public,,33
THE COMPETITION,"An opera singer boasts that during his cathedral concert, a statue of the Virgin Mary began to cry.","A rival tenor replies, ""At my concert overseas, the giant statue of Christ leaned down, hugged me, and said, \'Magnificent! Not like that other idiot who made my mother cry.\'""",work,tout_public,,48
THE IMPORTANT PASSENGER,"The Pope asks to drive his own limousine. On the highway he speeds and gets pulled over. The officer calls his chief. ""I stopped someone extremely important."" ""A governor? The President?""","""More important. I don\'t know who he is, but the Pope is his chauffeur.""",work,tout_public,,45
THE ATHEIST\'S SURPRISE,"An atheist dies and meets God. ""Well,"" says God, ""this is awkward.""","The atheist nods. ""For one of us, definitely.""",misc,tout_public,,20
THE GOLDEN STREETS,A wealthy man arrives in heaven carrying a suitcase of gold bars. An angel opens it and laughs.,"""You brought pavement?""",bar,tout_public,,21
THE ETERNAL CLOCK,"In heaven, clocks spin faster each time someone lies. One man\'s clock never moves. ""Was he perfectly honest?""","""No. We use his clock as the office fan.""",work,tout_public,,27
THE DEVIL\'S DISCOUNT,"The Devil advertises, ""Sell me your soul and get everything you want."" A shopper asks, ""Is there a free trial?""","The Devil smiles. ""You\'re living it.""",misc,tout_public,,26
THE FINAL SERMON,"The preacher announced, ""Tonight's sermon is about forgiving your enemies."" Half the church stood up and left.",They had come to hear what was going to happen to their enemies.,tech,tout_public,,30
THE ANSWERED PRAYER,"A man prays every night to win the lottery. After twenty years, a voice from heaven finally says:","""Meet me halfway. Buy a ticket.""",money,tout_public,,24
THE HEAVENLY COMPLAINT,A man reaches heaven and complains that his cloud is too small.,"The angel checks his file. ""Sir, that isn\'t a cloud. You are standing in the smoking section.""",misc,tout_public,,29
THE LAST CONFESSION,"A dying man tells the priest, ""I stole, lied, cheated, and never felt guilty."" The priest says, ""Repent now and you may still enter heaven.""","The man whispers, ""Could you put that guarantee in writing?""",misc,adulte,,35
A BETTER ETERNITY,The Devil offers a new arrival two choices: eternal fire or an endless committee meeting. The man chooses fire.,"""Wise,"" says the Devil. ""The meeting decides the fire temperature.""",work,tout_public,,29
THE ADMISSION TEST,"At heaven\'s gate, the angel asks a lawyer for one honest statement. The lawyer says, ""This will be difficult.""",The gate opens immediately.,misc,tout_public,,23
THE MIRACLE REVIEW,"A man asks God for a sign. His car starts, his phone charges, and the drive-through gets his order right.","He whispers, ""Okay, now you\'re just showing off.""",work,tout_public,,28
THE NEW COMMANDMENT,"A prophet returns from the mountain carrying a tablet. The crowd asks, ""Is that a new commandment?""","""No. The old ones are now a subscription.""",misc,tout_public,,25
THE BEST DOOR,"The Devil shows a newcomer three rooms. In the first, people stand on their heads on sharp gravel. In the second, they stand on their heads on hard tile. In the third, everyone stands ankle-deep in sewage, drinking coffee and chatting. The man chooses the third room. He takes a mug and relaxes. A demon suddenly cracks a whip. ""Coffee break is over!","Back on your heads!""",work,tout_public,,67
A BETTER ENDING,"People always say, ""At least he died doing what he loved.""","I want to die doing something I hate, so everyone can say, ""Good. He didn't have to finish it.""",misc,tout_public,,30
DRY MONTH,"A month without alcohol improved my sleep, skin, mood, savings, and health.","Unfortunately, it also made every evening last nine hours.",misc,tout_public,,21
CLIMATE CONTROL,"An engineer dies, lands in Hell by mistake, and installs air-conditioning, elevators, and plumbing. Heaven demands his return. The Devil refuses. God threatens to sue. The Devil laughs.","""Where are you going to find a lawyer up there?""",work,tout_public,,38
A SIGN FROM ABOVE,I asked the universe for a sign.,It sent me a bill.,misc,tout_public,,12
THE TEMPERATURE OF HELL,"A professor asks whether Hell is exothermic or endothermic. One student writes pages of equations and concludes: ""If Hell expands slower than the number of arriving souls, the temperature rises. Based on my dating history, more people are entering than leaving.","Therefore, Hell is exothermic.""",kids,tout_public,,45
THE WAY OUT,A man enters a cemetery and asks for the exit.,"The caretaker says, ""Straight ahead---for now.""",misc,tout_public,,16
A HEROIC MOMENT,"A woman is drowning beneath a huge seaside cliff while a crowd watches helplessly. Suddenly, a man dives from the rocks and swims straight toward her. The crowd erupts: ""What a hero! What courage!""","The man surfaces and shouts, ""Thanks---but when I get back up there, I want to know which jerk pushed me!""",misc,tout_public,,54
THE SEATING PLAN,"A man jumps onto a bus and yells, ""Nobody move! Women to the left, men to the right! I'm going to rob the women and kiss the men!"" A woman protests, ""Why not the other way around?""","A man in the back calls out, ""Ma'am, please don't start changing the plan now that, for once, it's perfectly organized.""",misc,tout_public,,58
SANTA'S MAIL,"An orphan writes Santa asking for one hundred dollars. Moved, postal workers collect fifty and mail it to him. A week later they receive another letter:","""Dear Santa, thank you for the money. Next time, don't send it through the post office---the crooks kept half.""",work,tout_public,,45
THREE MOTHERS,Three Jewish mothers brag about their sons. The first says hers could buy all of New York City. The second says hers could buy New York and Los Angeles.,"The third shrugs. ""What makes you think my son wants to sell?""",work,tout_public,,41
A PARKING SPACE,"A late businessman circles the block, praying. ""God, if you find me a space, I\'ll attend synagogue every day, give to the poor, and never miss another prayer."" A truck pulls away from the perfect spot.","""Never mind, Lord. I found one.""",money,tout_public,,42
THE FAMOUS FRIEND,"Dave brags to his boss, ""I know everyone there is to know. Name anyone, and I know them."" His boss calls his bluff. ""How about the biggest action star in Hollywood?"" They fly west. The star opens the door and shouts, ""Dave! Great to see you! Come in for a beer!"" Impressed but skeptical, the boss asks about the President. At the White House, the President spots Dave on a tour and waves him inside for a drink. Still not convinced, the boss names the Pope. They fly to Rome. Dave says, ""I\'ll never catch his eye from here. I know the guards, so I\'ll go up to the balcony."" Half an hour later, Dave appears beside the Pope. When he returns, his boss is on the ground with paramedics. ""What happened?""","His boss looks up. ""You and the Pope came out, and the man beside me asked, \'Who the fuck is that standing next to Dave?\'""",bar,tout_public,,157
THE DEMONSTRATION,"Three admirals argue about whose sailors are bravest. The Russian orders a sailor to jump overboard, swim beneath the ship, and climb back up. The sailor obeys. The American orders one of his sailors to swim from bow to stern and back. He obeys too. The British admiral gives his sailor an even more dangerous order. The sailor looks him straight in the eye and says, ""You can fuck right off, sir."" The British admiral smiles.","""That, gentlemen, is courage.""",work,tout_public,,80
THE IMPATIENT CUSTOMER,"A long line forms outside a store that has not opened yet. One man pushes all the way to the front. The first customer slaps him. Then everyone else slaps him, one after another, until he lands at the back of the line. He tries again and gets slapped all the way back a second time. Finally, he loses his temper.","""Fine! If that\'s how you\'re going to act, I\'m not opening the store today!""",tech,tout_public,,75
